,Type,Date,Open,High,Low,Close,Volume
16780,Polkadot USD,2021-12-13,29.61389,29.812469,25.60862,25.971106,1292550086.0
16781,Polkadot USD,2021-12-14,25.952719,26.69298,25.091862,26.168419,1206987079.0
16782,Polkadot USD,2021-12-15,26.174873,27.989716,24.371534,27.14576,1580299615.0
16783,Polkadot USD,2021-12-16,27.154755,27.795271,25.771624,26.043077,1485488983.0
16784,Polkadot USD,2021-12-17,26.028437,26.208549,24.287596,24.663027,1134265516.0
16785,Polkadot USD,2021-12-18,24.676817,25.724895,24.256323,25.490757,878905203.0
16786,Polkadot USD,2021-12-19,25.488007,25.856468,24.695019,24.791401,744698642.0
16787,Polkadot USD,2021-12-20,24.784105,25.018566,23.31316,24.050674,924598147.0
16788,Polkadot USD,2021-12-21,24.042261,25.584335,23.765162,25.194195,893276894.0
16789,Polkadot USD,2021-12-22,25.187767,28.212662,25.019508,27.216074,1332894453.0
16790,Polkadot USD,2021-12-23,27.233431,29.637953,26.793833,29.111094,1466897164.0
16791,Polkadot USD,2021-12-24,29.153118,29.667553,27.881594,28.139498,1068526285.0
16792,Polkadot USD,2021-12-25,28.158287,29.144415,28.009048,28.837757,721290103.0
16793,Polkadot USD,2021-12-26,28.83884,31.739517,28.32209,31.332836,1627652480.0
16794,Polkadot USD,2021-12-27,31.319946,32.768093,30.835819,30.908672,1724296390.0
16795,Polkadot USD,2021-12-28,30.962435,30.962435,27.585024,27.907103,2373946823.0
16796,Polkadot USD,2021-12-29,27.865063,28.921068,26.560366,26.744373,1772776120.0
16797,Polkadot USD,2021-12-30,26.827425,28.370249,26.218414,27.567789,1238329221.0
16798,Polkadot USD,2021-12-31,27.56929,28.060705,26.356335,26.719675,1169307108.0
16799,Polkadot USD,2022-01-01,26.721346,28.583582,26.705992,28.583582,769282646.0
16800,Polkadot USD,2022-01-02,28.582886,30.555826,27.922352,29.731167,1217867246.0
16801,Polkadot USD,2022-01-03,29.724901,30.825724,28.751802,30.105101,1652854634.0
16802,Polkadot USD,2022-01-04,30.109388,30.533686,28.777731,28.777731,1433783811.0
16803,Polkadot USD,2022-01-05,28.790211,30.316029,25.521626,26.796141,1721841153.0
16804,Polkadot USD,2022-01-06,26.797825,27.324682,25.648989,26.760822,1444988536.0
16805,Polkadot USD,2022-01-07,26.750895,26.806652,24.458998,24.92524,2764194355.0
16806,Polkadot USD,2022-01-08,24.925631,25.490292,23.342363,24.029129,1546276235.0
16807,Polkadot USD,2022-01-09,24.028667,25.285593,23.8398,24.627319,1328484247.0
16808,Polkadot USD,2022-01-10,24.62653,25.178137,22.604368,23.78006,1693703473.0
16809,Polkadot USD,2022-01-11,23.77891,25.959665,23.578653,25.54393,1556234288.0
16810,Polkadot USD,2022-01-12,25.548052,27.558558,25.511274,27.319494,1416836455.0
16811,Polkadot USD,2022-01-13,27.317213,27.588245,25.82889,25.82889,1392401458.0
16812,Polkadot USD,2022-01-14,25.831518,27.834513,25.696104,27.712864,1801182212.0
16813,Polkadot USD,2022-01-15,27.71645,28.38435,26.942692,27.736834,1158992450.0
16814,Polkadot USD,2022-01-16,27.72418,28.415182,27.382957,27.665129,1280576659.0
16815,Polkadot USD,2022-01-17,27.671783,27.720455,25.239698,25.727352,1453899013.0
16816,Polkadot USD,2022-01-18,25.731302,25.988699,24.384954,25.168928,1349151568.0
16817,Polkadot USD,2022-01-19,25.170046,25.285927,23.810032,24.129553,1171940720.0
16818,Polkadot USD,2022-01-20,24.130487,25.564138,22.983807,22.984886,897265226.0
16819,Polkadot USD,2022-01-21,22.999681,23.430182,19.305567,19.646294,2158447179.0
16820,Polkadot USD,2022-01-22,19.657223,20.074379,16.529568,18.229856,2593516897.0
16821,Polkadot USD,2022-01-23,18.23942,19.139383,17.826681,18.828775,1570770653.0
16822,Polkadot USD,2022-01-24,18.827082,18.827082,15.976185,18.036749,2261885506.0
16823,Polkadot USD,2022-01-25,18.036751,19.012129,17.440678,18.348646,1511107520.0
16824,Polkadot USD,2022-01-26,18.341249,19.937613,17.64109,18.076839,1763129260.0
16825,Polkadot USD,2022-01-27,18.072672,18.302971,17.274731,18.134811,1134516099.0
16826,Polkadot USD,2022-01-28,18.122742,18.466373,17.439566,18.339581,994677640.0
16827,Polkadot USD,2022-01-29,18.338991,18.976257,18.127714,18.710241,766547375.0
16828,Polkadot USD,2022-01-30,18.715378,18.96744,17.868931,18.172527,757967482.0
16829,Polkadot USD,2022-01-31,18.171585,19.554422,17.199829,19.420546,1115684278.0
16830,Polkadot USD,2022-02-01,19.415051,19.951502,19.20253,19.614204,1068758718.0
16831,Polkadot USD,2022-02-02,19.615648,20.53236,18.721237,18.796898,1153269231.0
16832,Polkadot USD,2022-02-03,18.789368,18.838409,18.09934,18.812508,906875219.0
16833,Polkadot USD,2022-02-04,18.807337,20.463795,18.749556,20.424664,1110480504.0
16834,Polkadot USD,2022-02-05,20.437189,22.252073,20.352913,21.366989,1265231134.0
16835,Polkadot USD,2022-02-06,21.367344,21.903336,20.92281,21.903336,830919540.0
16836,Polkadot USD,2022-02-07,21.904425,22.646065,21.4485,22.36451,1356167813.0
16837,Polkadot USD,2022-02-08,22.371853,23.134687,21.114368,21.689148,1444549625.0
16838,Polkadot USD,2022-02-09,21.677759,22.208735,21.14234,21.930412,952902519.0
16839,Polkadot USD,2022-02-10,21.932529,22.429516,20.595379,20.635054,1497572222.0
16840,Polkadot USD,2022-02-11,20.622387,20.715441,18.676172,18.962442,1383736959.0
16841,Polkadot USD,2022-02-12,18.966,19.397598,18.385836,18.818741,982928210.0
16842,Polkadot USD,2022-02-13,18.817881,19.256063,18.453716,18.831486,741039938.0
16843,Polkadot USD,2022-02-14,18.809505,18.901653,18.076206,18.714754,834381954.0
16844,Polkadot USD,2022-02-15,18.71332,20.272732,18.670301,20.144676,891617857.0
16845,Polkadot USD,2022-02-16,20.149784,20.167482,19.116295,19.801155,890277874.0
16846,Polkadot USD,2022-02-17,19.789721,19.994631,17.890713,18.109921,1081608217.0
16847,Polkadot USD,2022-02-18,18.126673,18.562195,17.707533,17.845699,918690491.0
16848,Polkadot USD,2022-02-19,17.844217,18.208092,17.40523,17.89226,590901300.0
16849,Polkadot USD,2022-02-20,17.884331,17.884331,16.742777,16.93051,883758628.0
16850,Polkadot USD,2022-02-21,16.928036,17.696899,16.09757,16.192122,1330919934.0
16851,Polkadot USD,2022-02-22,16.190798,16.672777,15.837447,16.564276,1116940496.0
16852,Polkadot USD,2022-02-23,16.570091,17.395969,15.970354,16.009569,1280516751.0
16853,Polkadot USD,2022-02-24,15.998877,16.551756,14.13574,16.170918,2249049472.0
16854,Polkadot USD,2022-02-25,16.171318,17.41378,15.843975,17.250305,1228501074.0
16855,Polkadot USD,2022-02-26,17.249647,18.674515,17.221788,18.024559,1418827902.0
16856,Polkadot USD,2022-02-27,18.014654,18.661522,17.197315,17.473413,1354421088.0
16857,Polkadot USD,2022-02-28,17.483282,19.013205,16.750547,18.941088,1791272324.0
16858,Polkadot USD,2022-03-01,18.94235,19.535254,18.390608,18.880503,1659644223.0
16859,Polkadot USD,2022-03-02,18.880835,19.230429,18.411831,18.593468,1205395336.0
16860,Polkadot USD,2022-03-03,18.598177,18.63106,17.813257,18.019323,1037430689.0
